AQI;CO
30.2;19.860.268
28.2;19.760.132
26.6;19.860.268
25;20.194.054
26;2.052.784
26;20.861.626
26;20.861.626
24;2.052.784
23;2.002.716
24;19.693.375
25;19.860.268
26;2.002.716
27;20.360.947
29;2.052.784
29;2.052.784
29;2.052.784
29;20.360.947
28;20.194.054
27;2.002.716
27;20.194.054
27;20.194.054
27;20.194.054
27;2.002.716
27;2.002.716
27;2.002.716
28;20.194.054
29;20.360.947
31;2.052.784
31;20.694.733
32;20.694.733
32;2.052.784
31;20.694.733
31;20.694.733
30;20.861.626
30;20.694.733
29;2.052.784
27;20.360.947
26;2.002.716
25;2.002.716
25;19.860.268
24;19.693.375
24;19.526.482
25;19.526.482
25;19.526.482
25;19.693.375
26;19.860.268
26;19.860.268
27;19.860.268
27;19.860.268
27;19.860.268
27;2.002.716
28;2.002.716
28;2.002.716
27;2.002.716
27;19.860.268
26;19.860.268
25;19.860.268
23;19.860.268
22;19.693.375
21;19.359.589
20;19.359.589
19;19.192.696
19;19.192.696
20;19.192.696
21;19.192.696
21;19.192.696
21;19.192.696
22;19.359.589
24;19.526.482
26;19.693.375
27;19.860.268
28;19.860.268
