AQI;SO2
30.2;0.3874302
28.2;0.40978193
26.6;0.40233135
25;0.37625432
26;0.33900142
26;0.31292439
26;0.31292439
24;0.3427267
23;0.39488077
24;0.42840838
25;0.42840838
26;0.39860606
27;0.3501773
29;0.31664968
29;0.29802322
29;0.28684735
29;0.28312206
28;0.29429793
27;0.3017485
27;0.3054738
27;0.3091991
27;0.31292439
27;0.32037497
27;0.32410026
27;0.32782555
28;0.32782555
29;0.32037497
31;0.31664968
31;0.31292439
32;0.31664968
32;0.31664968
31;0.31664968
31;0.32037497
30;0.32037497
30;0.32410026
29;0.32782555
27;0.33900142
26;0.3501773
25;0.35762787
25;0.36507845
24;0.37252903
24;0.37625432
25;0.37625432
25;0.37252903
25;0.37252903
26;0.37252903
26;0.3799796
27;0.39115548
27;0.39860606
27;0.39860606
27;0.3874302
28;0.37625432
28;0.36507845
27;0.36880374
27;0.37625432
26;0.3837049
25;0.40233135
23;0.42840838
22;0.44330955
21;0.45448542
20;0.45448542
19;0.45076013
19;0.43958426
20;0.4209578
21;0.40978193
21;0.40605664
21;0.39860606
22;0.39115548
24;0.3837049
26;0.37625432
27;0.37252903
28;0.36880374
